keys,en,es,zh_CN,ru,pt_BR,de,ja,fr,pl,ko
Text/55/text,"Ally. Well, unfortunately we’ve–I’ve got something I need to take care of here and, um… I don’t think it’d be safe for you to join us. You’re better off just getting out of the city as fast as possible.","Ally. Pues, por desgracia tenemos… tengo algo de lo que ocuparme aquí y, em… no creo que sea seguro que vengas con nosotras. Es mejor que salgas de la ciudad lo antes posible.","艾莉。那个，很遗憾，我们——我这边有件事必须处理，呃……我觉得你跟着我们不安全。你最好还是尽快离开这座城市。","Элли. К сожалению, у нас… у меня тут есть одно дело, и, м-м… думаю, с нами тебе будет небезопасно. Лучше выбирайся из города как можно скорее.","Ally. Bem, infelizmente nós– eu tenho um assunto pra resolver aqui e, hã… acho que não seria seguro você vir com a gente. É melhor você sair da cidade o mais rápido possível.","Ally. Also, leider haben wir– habe ich hier etwas zu erledigen und, ähm… ich glaube nicht dass es sicher für dich wäre mitzukommen. Du solltest besser so schnell wie möglich aus der Stadt verschwinden.","アリー。ええと、残念だけど私たち——私にはここで片付けなきゃいけないことがあって、その……一緒に来るのは安全じゃないと思う。できるだけ早く街から出た方がいいわ。","Ally. Eh bien, malheureusement on a… j'ai quelque chose à régler ici et, hum… je ne pense pas que ce soit prudent que tu viennes avec nous. Tu ferais mieux de quitter la ville au plus vite.","Ally. Cóż, niestety mamy… mam tu coś do załatwienia i, em… nie sądzę, żeby podróż z nami była dla ciebie bezpieczna. Lepiej jak najszybciej wydostań się z miasta.","앨리. 음, 아쉽지만 우리… 내가 여기서 처리해야 할 일이 있어서, 그… 우리랑 같이 가는 건 안전하지 않을 것 같아. 최대한 빨리 도시를 빠져나가는 게 좋을 거야."
Text/56/text,"Oh… Okay. Yeah, no worries. I’ll be able to manage on my own. Probably. See ya around then, I guess!","Ah… Vale. Sí, tranquila. Sabré arreglármelas sola. Probablemente. ¡Pues nos vemos por ahí, supongo!","哦……好吧。嗯，没关系。我自己能应付的。大概。那就……回头见吧！","А… Ладно. Да, не переживай. Я справлюсь сама. Наверное. Ну, тогда ещё увидимся, наверное!","Ah… Tá. É, sem problema. Vou conseguir me virar sozinha. Provavelmente. Então até mais, eu acho!","Oh… Okay. Ja, kein Problem. Ich komme schon allein zurecht. Wahrscheinlich. Dann bis irgendwann, schätze ich!","そっか……わかった。うん、気にしないで。ひとりでも何とかなるから。たぶん。じゃあ、またどこかでね！","Oh… D'accord. Ouais, t'inquiète. Je saurai me débrouiller toute seule. Sans doute. À la prochaine alors, j'imagine !","Ach… Dobrze. Jasne, nie martw się. Poradzę sobie sama. Chyba. No to do zobaczenia kiedyś!","아… 알았어요. 네, 걱정 마세요. 혼자서도 잘 해낼 수 있을 거예요. 아마도요. 그럼, 또 봐요!"
Text/57/text,"Good. Now then, onwards to Rohan! Let’s try not to get distracted this time, alright?!","Bien. Ahora sí, ¡a por Rohan! Intentemos no distraernos esta vez, ¿de acuerdo?","很好。那么，向罗翰进发！这次可别再分心了，行吗？！","Отлично. А теперь — за Роханом! И давай в этот раз не отвлекаться, ладно?!","Ótimo. Agora sim, rumo ao Rohan! Vamos tentar não nos distrair dessa vez, tá?!","Gut. Also dann, auf zu Rohan! Versuchen wir uns diesmal nicht ablenken zu lassen, ja?!","よし。それじゃ、ローハンのもとへ！今度こそ寄り道はなしよ、いいわね？！","Bien. Maintenant, en route vers Rohan ! Essayons de ne pas nous laisser distraire cette fois, d'accord ?!","Dobrze. No to naprzód, do Rohana! Tym razem postarajmy się nie rozpraszać, jasne?!","좋아. 그럼 이제 로한에게로! 이번엔 딴 데 정신 팔지 말자고, 알았지?!"
Text/58/text,…,…,……,…,…,…,……,…,…,…
Text/59/text,The statue is getting closer.,La estatua está cada vez más cerca.,雕像越来越近了。,Статуя всё ближе.,A estátua está ficando mais perto.,Die Statue kommt näher.,像が近づいてきてる。,La statue se rapproche.,Posąg jest coraz bliżej.,조각상이 점점 가까워지고 있어.
Text/5a/text,Hm?,¿Mmm?,嗯？,М-м?,Hã?,Hm?,ん？,Hein ?,Hm?,응?
Text/5b/text,"The one I’ve been walking towards. I think it’ll be my ticket out of here, if I can get to it.","La estatua hacia la que llevo caminando. Creo que será mi billete de salida, si consigo llegar.","就是我一直朝着走的那座。我想只要能到那儿，它就是我离开这里的门票。","Та, к которой я иду. Думаю, она — мой билет отсюда, если я до неё доберусь.","Aquela em direção à qual venho caminhando. Acho que vai ser minha passagem pra fora daqui, se eu conseguir chegar.","Die, auf die ich die ganze Zeit zulaufe. Ich glaube sie ist mein Ticket hier raus, wenn ich sie erreiche.","私がずっと目指して歩いてきたあの像よ。あそこにたどり着ければ、ここから出るための切符になると思う。","Celle vers laquelle je marche depuis le début. Je crois que ce sera mon ticket de sortie, si j'arrive à l'atteindre.","Ten, do którego cały czas idę. Myślę, że będzie moją przepustką stąd, jeśli do niego dotrę.","내가 계속 향해 걷던 그 조각상 말이야. 거기까지 갈 수만 있다면, 여길 빠져나갈 티켓이 될 것 같아."
Text/5c/text,Be careful. I don’t even want to think about what would happen if one of us…,"Ten cuidado. No quiero ni pensar qué pasaría si una de nosotras…","小心点。我甚至不敢想，如果我们之中有一个……","Будь осторожна. Даже думать не хочу, что будет, если одна из нас…","Toma cuidado. Nem quero pensar no que aconteceria se uma de nós…","Sei vorsichtig. Ich will gar nicht daran denken was passieren würde wenn eine von uns…","気をつけてよ。もし私たちのどっちかが……なんて、考えたくもない。","Sois prudente. Je ne veux même pas imaginer ce qui arriverait si l'une de nous…","Uważaj na siebie. Nawet nie chcę myśleć, co by się stało, gdyby jedna z nas…","조심해. 우리 둘 중 하나가 잘못되기라도 하면… 생각조차 하기 싫어."
Text/5d/text,"Yeah, yeah, just worry about yourself, okay?","Ya, ya, tú preocúpate de ti misma, ¿vale?","行了行了，你操心你自己就好，好吗？","Да-да, ты лучше о себе беспокойся, ладно?","Tá, tá, se preocupa com você mesma, ok?","Ja, ja, kümmere dich einfach um dich selbst, okay?","はいはい、自分の心配だけしてなさい、ね？","Ouais, ouais, occupe-toi de toi, d'accord ?","Tak, tak, martw się o siebie, dobra?","그래그래, 네 걱정이나 해, 알았지?"
Text/5e/text,We’re the same per–,Somos la misma per…,我们是同一个人——,Мы же один и тот же чело…,Nós somos a mesma pes–,Wir sind dieselbe Per–,私たちは同じ人間——,On est la même per…,Jesteśmy tą samą oso…,우린 같은 사람이잖…
Text/5f/text,AHHHHHH HELPPPPP,AHHHHHH SOCORROOOO,啊啊啊啊——救命——！,А-А-А-А! ПОМОГИ-И-ИТЕ!,AHHHHHH SOCORROOOO,AHHHHHH HILFEEEE,きゃあああああ　助けてえええ,AHHHHHH À L'AIIIIDE,AAAAAA RATUNKUUUU,꺄아아아악 살려주세요오오
Text/60/text,Did you hear that? Someone’s trapped!,"¿Has oído eso? ¡Hay alguien atrapado!",听到了吗？有人被困住了！,Слышала? Кто-то в беде!,Ouviu isso? Tem alguém preso!,Hast du das gehört? Da sitzt jemand fest!,今の聞いた？誰かが囚われてる！,Tu as entendu ? Quelqu'un est piégé !,Słyszałaś? Ktoś jest uwięziony!,들었어? 누가 갇혀 있어!
Text/61/text,What did I just say…,¿Qué acabo de decir…?,我刚才怎么说的来着……,Что я только что говорила…,O que eu acabei de dizer…,Was habe ich gerade gesagt…,さっき言ったばかりでしょ……,Qu'est-ce que je viens de dire…,Co ja dopiero mówiłam…,내가 방금 뭐랬어…
Text/62/text,"I see her! Up there, by the zombies!","¡La veo! ¡Allí arriba, junto a los zombis!","我看到她了！在上面，僵尸旁边！","Я её вижу! Вон там, наверху, рядом с зомби!","Estou vendo ela! Lá em cima, perto dos zumbis!","Ich sehe sie! Da oben, bei den Zombies!","彼女が見えた！あの上、ゾンビのそばよ！","Je la vois ! Là-haut, près des zombies !","Widzę ją! Tam na górze, przy zombie!","보인다! 저 위, 좀비들 옆이야!"
Text/63/text,"Rohan, I’m sorry…","Rohan, lo siento…","罗翰，对不起……","Рохан, прости…","Rohan, me desculpa…","Rohan, es tut mir leid…","ローハン、ごめんなさい……","Rohan, je suis désolée…","Rohan, przepraszam…","로한, 미안해요…"
Text/64/text,Do not waste your breath. T-This was my own doing… my whole life… my own doing…,No malgastes saliva. E-Esto me lo hice yo… toda mi vida… me lo hice yo…,不必多言。这……这是我自己造成的……我这一生……都是我自己造成的……,"Не трать слов. Э-это я сам… вся моя жизнь… я сам…","Não gaste seu fôlego. I-Isso foi obra minha… minha vida inteira… obra minha…","Verschwende nicht deinen Atem. D-Das war mein eigenes Werk… mein ganzes Leben… mein eigenes Werk…","言葉を無駄にするな。こ、これは私自身の仕業だ……私の人生すべて……私自身の……","Ne gaspille pas ta salive. C-C'était mon œuvre… toute ma vie… mon œuvre…","Nie trać słów. T-To moja własna sprawka… całe moje życie… moja sprawka…","숨을 낭비하지 마라. 이, 이건 내가 자초한 일… 내 평생이… 내가 자초한 일이다…"
Text/65/text,…,…,……,…,…,…,……,…,…,…
Text/66/text,"Ahhh, I can’t fight these zombies much longer! There’s too many!","Ahhh, ¡no puedo seguir luchando contra estos zombis mucho más! ¡Son demasiados!","啊——我撑不了多久了！僵尸太多了！","А-а-а, я долго не продержусь! Их слишком много!","Ahhh, não consigo lutar com esses zumbis por muito mais tempo! São muitos!","Ahhh, ich kann diese Zombies nicht mehr lange abwehren! Es sind zu viele!","ああっ、もうゾンビと戦い続けられない！多すぎる！","Ahhh, je ne vais pas tenir encore longtemps contre ces zombies ! Ils sont trop nombreux !","Aaa, długo już nie powalczę z tymi zombie! Jest ich za dużo!","으아, 이 좀비들을 더는 못 막겠어! 너무 많아!"
Text/67/text,"I-I can feel it, please, try to hold on… I need to get to Argus…","P-Puedo sentirlo. Por favor, aguanta… Tengo que llegar hasta Argus…","我、我能感觉到。拜托，再撑一下……我必须找到阿古斯……","Я-я это чувствую. Пожалуйста, продержись… Мне нужно добраться до Аргуса…","E-Eu consigo sentir, por favor, tenta aguentar… Preciso chegar até o Argus…","I-Ich kann es spüren. Bitte, halte durch… Ich muss zu Argus…","か、感じるの。お願い、持ちこたえて……アーガスのところへ行かなきゃ……","J-Je le sens. S'il te plaît, tiens bon… Je dois atteindre Argus…","C-Czuję to. Proszę, spróbuj wytrzymać… Muszę dotrzeć do Argusa…","ㄴ, 느껴져. 제발 조금만 버텨줘… 난 아르구스에게 가야 해…"
Text/68/text,"I appreciate both of your dedications, Lucretias. But please, try not to fight it. What has been done cannot be undone.","Aprecio la entrega de ambas, Lucretias. Pero, por favor, no os resistáis. Lo hecho no puede deshacerse.","两位卢克蕾西娅的执着令我欣赏。但请不要再挣扎了。已成之事，无可挽回。","Я ценю ваше усердие, Лукреции. Но прошу, не сопротивляйтесь. Сделанного не воротишь.","Admiro a dedicação de vocês duas, Lucretias. Mas, por favor, não tentem resistir. O que foi feito não pode ser desfeito.","Ich schätze eure Hingabe, Lucretias. Aber bitte, wehrt euch nicht dagegen. Was geschehen ist, kann nicht ungeschehen gemacht werden.","二人のルクレツィアよ、その献身は見事だ。だが頼むから、抗おうとするな。なされたことは、もう元には戻せない。","J'apprécie votre dévouement à toutes les deux, Lucretias. Mais je vous en prie, n'essayez pas de lutter. Ce qui est fait ne peut être défait.","Doceniam wasze poświęcenie, Lukrecje. Ale proszę, nie walczcie z tym. Co się stało, nie może zostać cofnięte.","두 루크레티아의 헌신은 높이 산다. 하지만 부디 저항하려 하지 마라. 이미 벌어진 일은 되돌릴 수 없으니."
Text/69/text,No! I will not accept this! You can’t keep me here!,"¡No! ¡No pienso aceptarlo! ¡No puedes retenerme aquí!",不！我绝不接受！你不能把我关在这里！,"Нет! Я этого не приму! Ты не удержишь меня здесь!","Não! Eu não vou aceitar isso! Você não pode me manter aqui!","Nein! Das akzeptiere ich nicht! Du kannst mich hier nicht festhalten!","嫌よ！絶対に受け入れない！私をここに閉じ込めることなんてできない！","Non ! Je refuse ! Tu ne peux pas me garder ici !","Nie! Nie zaakceptuję tego! Nie możesz mnie tu więzić!","싫어! 절대 받아들이지 않아! 날 여기 가둘 순 없어!"
Text/6a/text,"Don’t worry, girls. You will realize your purpose soon enough.","Tranquilas, chicas. Pronto comprenderéis vuestro propósito.","别担心，姑娘们。你们很快就会明白自己的使命。","Не волнуйтесь, девочки. Скоро вы осознаете своё предназначение.","Não se preocupem, meninas. Logo vocês vão entender o propósito de vocês.","Keine Sorge, Mädchen. Ihr werdet euren Zweck bald genug erkennen.","案ずるな、娘たちよ。じきに自らの使命を悟るだろう。","Ne vous inquiétez pas, mesdemoiselles. Vous comprendrez bien assez tôt votre raison d'être.","Nie martwcie się, dziewczęta. Wkrótce pojmiecie swoje przeznaczenie.","걱정 마라, 아가씨들. 곧 너희의 목적을 깨닫게 될 테니."
Text/6b/text,Aughhhh…,Aghhh…,呃啊……,А-а-ах…,Aaargh…,Aaahhh…,うぅぅ……,Aaargh…,Aaaach…,으윽…
Text/6c/text,Aughhhh…,Aghhh…,呃啊……,А-а-ах…,Aaargh…,Aaahhh…,うぅぅ……,Aaargh…,Aaaach…,으윽…
Text/6d/text,…,…,……,…,…,…,……,…,…,…
Text/6e/text,"Don’t worry, I got you. I got you.","Tranquila, te tengo. Te tengo.","别怕，有我在。有我在。","Всё хорошо, я рядом. Я тебя держу.","Calma, estou aqui. Estou aqui.","Keine Sorge, ich hab dich. Ich hab dich.","大丈夫、私がついてる。ついてるから。","T'inquiète pas, je suis là. Je suis là.","Spokojnie, trzymam cię. Jestem przy tobie.","걱정 마, 내가 있어. 내가 잡았어."
Text/6f/text,"I’ve made it to the statue, but it’s guarded by even more monster-zombie-things. Convenient timing, looks like we’re both in for a fight.","He llegado a la estatua, pero la custodian aún más cosas-monstruo-zombi. Qué oportuno: parece que a las dos nos toca pelear.","我到雕像这儿了，但守着它的怪物僵尸玩意儿更多。真是巧了，看来我们俩都得打一场。","Я добралась до статуи, но её охраняет ещё больше этих монстро-зомби-тварей. Как удачно: похоже, драка предстоит нам обеим.","Cheguei à estátua, mas ela está guardada por ainda mais coisas-monstro-zumbi. Que timing conveniente: parece que nós duas vamos ter que lutar.","Ich habe die Statue erreicht, aber sie wird von noch mehr Monster-Zombie-Dingern bewacht. Wie passend — sieht aus als steht uns beiden ein Kampf bevor.","像までたどり着いたけど、もっと大勢の怪物ゾンビもどきに守られてる。タイミングいいわね、どうやら二人そろって戦う羽目になりそう。","Je suis arrivée à la statue, mais elle est gardée par encore plus de trucs-monstres-zombies. Quel timing : on dirait qu'on va toutes les deux devoir se battre.","Dotarłam do posągu, ale strzeże go jeszcze więcej tych potworo-zombie-czegoś. Co za zbieg okoliczności — wygląda na to, że obie czeka nas walka.","조각상까지 왔는데, 괴물 좀비 같은 것들이 더 잔뜩 지키고 있어. 타이밍 한번 좋네. 우리 둘 다 한바탕 싸워야 할 모양이야."
Text/70/text,Yeah. Rohan is definitely here somewhere…,"Sí. Rohan está por aquí, seguro…","嗯。罗翰肯定就在这附近……","Да. Рохан точно где-то здесь…","É. O Rohan com certeza está por aqui em algum lugar…","Ja. Rohan ist definitiv irgendwo hier…","ええ。ローハンは間違いなくこの辺にいる……","Ouais. Rohan est forcément quelque part par ici…","Tak. Rohan na pewno gdzieś tu jest…","그래. 로한은 분명 이 근처 어딘가에 있어…"
Text/71/text,"Talking to yourself, are you? I’m impressed you’ve managed to follow me this far… to where it all started. Tell me, what is your name?","¿Hablando sola? Me impresiona que hayas logrado seguirme hasta aquí… hasta donde empezó todo. Dime, ¿cómo te llamas?","自言自语呢？你能一路跟到这里，我很佩服……跟到这一切开始的地方。告诉我，你叫什么名字？","Сама с собой разговариваешь? Впечатляет, что ты сумела дойти за мной так далеко… туда, где всё началось. Скажи, как тебя зовут?","Falando sozinha, é? Estou impressionado que tenha conseguido me seguir até aqui… até onde tudo começou. Diga-me, qual é o seu nome?","Sprichst du mit dir selbst? Beeindruckend dass du mir bis hierher folgen konntest… dorthin wo alles begann. Sag mir, wie heißt du?","独り言か？ここまで私を追ってこられたとは大したものだ……すべてが始まった場所まで。教えてくれ、君の名は？","Tu parles toute seule ? Je suis impressionné que tu aies réussi à me suivre jusqu'ici… là où tout a commencé. Dis-moi, quel est ton nom ?","Rozmawiasz sama ze sobą? Imponujące, że udało ci się podążać za mną aż tutaj… tam, gdzie wszystko się zaczęło. Powiedz, jak masz na imię?","혼잣말을 하는 건가? 여기까지 날 따라오다니 감탄스럽군… 모든 것이 시작된 곳까지 말이야. 말해봐라, 이름이 무엇이지?"
Text/72/text,Lucretia. I need to speak to Argus. The deals we’ve made – they’re not right. We’re destroying our world!,"Lucretia. Necesito hablar con Argus. Los tratos que hicimos… no están bien. ¡Estamos destruyendo nuestro mundo!","卢克蕾西娅。我要见阿古斯。我们做的那些交易——都是错的。我们正在毁掉我们的世界！","Лукреция. Мне нужно поговорить с Аргусом. Сделки, что мы заключили, — это неправильно. Мы разрушаем наш мир!","Lucretia. Preciso falar com o Argus. Os acordos que fizemos – eles não estão certos. Estamos destruindo o nosso mundo!","Lucretia. Ich muss mit Argus sprechen. Die Deals die wir gemacht haben – sie sind nicht richtig. Wir zerstören unsere Welt!","ルクレツィア。アーガスと話をさせて。私たちが交わした取引は——間違ってる。私たちは自分の世界を壊してるのよ！","Lucretia. Je dois parler à Argus. Les marchés qu'on a passés… ils ne sont pas justes. On est en train de détruire notre monde !","Lukrecja. Muszę porozmawiać z Argusem. Układy, które zawarliśmy — one są złe. Niszczymy nasz świat!","루크레티아. 아르구스와 얘기해야 해요. 우리가 맺은 거래들… 옳지 않아요. 우린 우리의 세계를 파괴하고 있다고요!"
Text/73/text,"It’s true. With each zombie mutated and demon brought to our realm, Argus’ power grows. A new empire is coming, one with him and I on top. Why else would I have released the virus?","Es cierto. Con cada zombi mutado y cada demonio traído a nuestro mundo, el poder de Argus crece. Se acerca un nuevo imperio, con él y conmigo en la cima. ¿Por qué crees que liberé el virus?","没错。每一只变异的僵尸、每一个被带到我们世界的恶魔，都在壮大阿古斯的力量。一个新帝国即将到来，他与我将君临其上。不然你以为我为什么要释放病毒？","Это правда. С каждым мутировавшим зомби и каждым демоном, приведённым в наш мир, сила Аргуса растёт. Грядёт новая империя — с ним и со мной во главе. Зачем бы ещё я выпускал вирус?","É verdade. A cada zumbi mutado e demônio trazido ao nosso mundo, o poder do Argus cresce. Um novo império está vindo, com ele e eu no topo. Por que outro motivo eu teria liberado o vírus?","Es stimmt. Mit jedem mutierten Zombie und jedem in unsere Welt geholten Dämon wächst Argus' Macht. Ein neues Imperium kommt — mit ihm und mir an der Spitze. Warum sonst hätte ich das Virus freigesetzt?","その通りだ。ゾンビが変異し、悪魔がこの世界に招かれるたび、アーガスの力は増していく。新たな帝国が来る。頂点に立つのは彼と私だ。でなければ、なぜ私がウイルスをばら撒いたと思う？","C'est vrai. À chaque zombie muté, à chaque démon amené dans notre monde, le pouvoir d'Argus grandit. Un nouvel empire arrive, avec lui et moi au sommet. Pourquoi crois-tu que j'ai libéré le virus ?","To prawda. Z każdym zmutowanym zombie i demonem sprowadzonym do naszego świata moc Argusa rośnie. Nadchodzi nowe imperium — z nim i ze mną na szczycie. Po cóż innego wypuszczałbym wirusa?","사실이다. 좀비가 변이하고 악마가 우리 세계로 넘어올 때마다 아르구스의 힘은 커진다. 새로운 제국이 오고 있어. 그 정점엔 그와 내가 설 것이다. 그게 아니면 내가 왜 바이러스를 퍼뜨렸겠나?"
Text/74/text,"You can’t trust him, Rohan! Together, we can still fix this. We can undo the deals we made.","¡No puedes fiarte de él, Rohan! Juntos aún podemos arreglarlo. Podemos deshacer los tratos que hicimos.","你不能相信他，罗翰！我们联手还能挽回这一切。我们可以撤销我们做过的交易。","Ему нельзя доверять, Рохан! Вместе мы ещё можем всё исправить. Мы можем расторгнуть заключённые сделки.","Você não pode confiar nele, Rohan! Juntos, ainda podemos consertar isso. Podemos desfazer os acordos que fizemos.","Du kannst ihm nicht trauen, Rohan! Zusammen können wir das noch in Ordnung bringen. Wir können unsere Deals rückgängig machen.","彼を信じちゃだめ、ローハン！一緒なら、まだやり直せる。私たちが交わした取引を取り消せるのよ。","Tu ne peux pas lui faire confiance, Rohan ! Ensemble, on peut encore tout réparer. On peut annuler les marchés qu'on a passés.","Nie możesz mu ufać, Rohan! Razem wciąż możemy to naprawić. Możemy cofnąć zawarte układy.","그를 믿으면 안 돼요, 로한! 함께라면 아직 바로잡을 수 있어요. 우리가 맺은 거래를 무를 수 있다고요."
Text/75/text,"It’s too late. He’s here, and I will ascend to join him in ruling this new world, one without useless fighting and inefficiencies. Ultimate peace and order…","Es demasiado tarde. Él ya está aquí, y yo ascenderé para gobernar a su lado este nuevo mundo, uno sin luchas inútiles ni ineficiencias. Paz y orden absolutos…","太迟了。他已经来了，而我将飞升，与他共治这个新世界——一个没有无谓争斗与低效的世界。至高的和平与秩序……","Слишком поздно. Он уже здесь, и я вознесусь, чтобы править этим новым миром рядом с ним — миром без бессмысленной борьбы и неэффективности. Абсолютный мир и порядок…","É tarde demais. Ele está aqui, e eu vou ascender para me juntar a ele no comando deste novo mundo, um sem lutas inúteis e ineficiências. Paz e ordem absolutas…","Es ist zu spät. Er ist hier, und ich werde aufsteigen um an seiner Seite diese neue Welt zu regieren — eine ohne sinnlose Kämpfe und Ineffizienzen. Ultimativer Frieden und Ordnung…","もう遅い。彼はここにいる。私は昇華し、彼とともにこの新世界を統べるのだ。無益な争いも非効率もない世界を。究極の平和と秩序を……","Il est trop tard. Il est là, et je vais m'élever pour régner à ses côtés sur ce nouveau monde, un monde sans luttes inutiles ni inefficacités. La paix et l'ordre absolus…","Za późno. On już tu jest, a ja wstąpię, by u jego boku władać tym nowym światem — światem bez bezsensownych walk i marnotrawstwa. Ostateczny pokój i porządek…","너무 늦었다. 그가 여기 왔고, 나는 승천하여 그와 함께 이 새로운 세계를 다스릴 것이다. 무의미한 싸움도 비효율도 없는 세계를. 궁극의 평화와 질서를…"
Text/76/text,"Well done, Mr. Moore. You’ve accomplished your end of the bargain. And now it’s time for mine. Ascension… or, mutation.","Bien hecho, señor Moore. Ha cumplido su parte del trato. Y ahora llega la mía. Ascensión… o, mutación.","干得好，摩尔先生。你已履行了你那部分的约定。现在轮到我了。飞升……或者说，变异。","Отлично, мистер Мур. Вы выполнили свою часть сделки. Теперь настал черёд моей. Вознесение… или, точнее, мутация.","Muito bem, Sr. Moore. Você cumpriu a sua parte do acordo. E agora é hora da minha. Ascensão… ou, mutação.","Gut gemacht, Mr. Moore. Sie haben Ihren Teil der Abmachung erfüllt. Und nun ist meiner an der Reihe. Aufstieg… oder, Mutation.","よくやった、ムーア君。君は取引の役目を果たした。次は私の番だ。昇華……いや、変異と言うべきかな。","Bien joué, M. Moore. Vous avez rempli votre part du marché. Et maintenant, voici la mienne. Ascension… ou plutôt, mutation.","Dobra robota, panie Moore. Wypełnił pan swoją część umowy. A teraz czas na moją. Wstąpienie… albo raczej mutacja.","잘했다, 무어 군. 자네는 거래에서 자기 몫을 다했지. 이제 내 차례다. 승천… 아니, 변이라고 해야 하나."
Text/77/text,What? NOOOOOOO!,¿Qué? ¡NOOOOOO!,什么？不——！,Что? НЕ-Е-ЕТ!,Quê? NÃOOOOOO!,Was? NEIIIIIN!,何だと？やめろおおおお！,Quoi ? NOOOON !,Co? NIEEEEEE!,뭐라고? 안 돼애애애!
Text/78/text,Argus!!,¡¡Argus!!,阿古斯！！,Аргус!!,Argus!!,Argus!!,アーガス！！,Argus !!,Argus!!,아르구스!!
Text/79/text,"Okay, I think that’s the last of them.","Vale, creo que esos eran los últimos.","好了，我想这是最后一批了。","Так, кажется, это были последние.","Certo, acho que esses eram os últimos.","Okay, ich glaube das waren die Letzten.","よし、これで最後だと思う。","Bon, je crois que c'étaient les derniers.","Dobra, to chyba byli ostatni.","좋아, 이게 마지막인 것 같아."
Text/7a/text,Same here. How…,Igual por aquí. ¿Cómo…?,这边也是。怎么会……,И у меня. Как…,Aqui também. Como…,Hier auch. Wie…,こっちもよ。どうやって……,Pareil ici. Comment…,U mnie też. Jak…,여기도. 어떻게…
Text/7b/text,How did we do that?,"¿Cómo hemos hecho eso?",我们是怎么做到的？,Как мы это сделали?,Como a gente fez aquilo?,Wie haben wir das gemacht?,私たち、どうやってあんなこと？,Comment on a fait ça ?,Jak my to zrobiłyśmy?,우리가 어떻게 그런 걸 한 거지?
Text/7c/text,"You tell me. I don’t remember anything before waking up here, and I have a sneaking suspicion you have something to do with it.","Dímelo tú. No recuerdo nada antes de despertar aquí, y tengo la ligera sospecha de que tú tienes algo que ver.","你说呢。我不记得在这里醒来之前的任何事，而且我隐隐怀疑这和你脱不了干系。","Это ты мне скажи. Я не помню ничего до того, как очнулась здесь, и у меня закрадывается подозрение, что ты к этому причастна.","Me diga você. Não lembro de nada antes de acordar aqui, e tenho uma leve suspeita de que você tem algo a ver com isso.","Sag du es mir. Ich erinnere mich an nichts bevor ich hier aufgewacht bin, und ich habe den leisen Verdacht dass du etwas damit zu tun hast.","そっちこそ教えてよ。ここで目覚める前のことを何も覚えてないんだけど、あんたが関わってる気がしてならないのよね。","À toi de me le dire. Je ne me souviens de rien avant de me réveiller ici, et j'ai la vague impression que tu y es pour quelque chose.","Ty mi powiedz. Nie pamiętam nic sprzed przebudzenia tutaj i mam ciche podejrzenie, że masz z tym coś wspólnego.","그건 네가 말해줘야지. 여기서 깨어나기 전 일이 하나도 기억 안 나는데, 왠지 네가 관련돼 있다는 의심이 들거든."
Text/7d/text,"Why, cause we’re connected telepathically, and sound exactly the same?","¿Por qué? ¿Porque estamos conectadas telepáticamente y sonamos exactamente igual?","为什么这么想？就因为我们心灵相通，声音还一模一样？","С чего бы? Потому что мы связаны телепатически и говорим одинаковыми голосами?","Por quê? Porque estamos conectadas telepaticamente e temos exatamente a mesma voz?","Wieso, weil wir telepathisch verbunden sind und exakt gleich klingen?","なんで？テレパシーでつながってて、声もまったく同じだから？","Pourquoi, parce qu'on est connectées par télépathie et qu'on a exactement la même voix ?","Czemu? Bo łączy nas telepatia i brzmimy identycznie?","왜? 우리가 텔레파시로 연결돼 있고 목소리도 똑같아서?"
Text/7e/text,Don’t patronize me. You had that thing appear in your room just now.,"No me tomes por tonta. Esa cosa acaba de aparecer en tu cuarto.","少拿话糊弄我。刚才那个东西可是出现在你的房间里。","Не надо со мной снисходительно. Эта тварь только что появилась именно в твоей комнате.","Não me trate como boba. Aquela coisa apareceu no seu quarto agora há pouco.","Verarsch mich nicht. Dieses Ding ist gerade eben in deinem Zimmer erschienen.","バカにしないで。さっきあんたの部屋にあれが現れたじゃない。","Ne me prends pas de haut. C'est dans ta chambre que cette chose vient d'apparaître.","Nie traktuj mnie z góry. To w twoim pokoju przed chwilą pojawiło się to coś.","날 무시하지 마. 방금 그 존재가 나타난 건 네 방이었잖아."
Text/7f/text,Argus...,Argus…,阿古斯……,Аргус…,Argus…,Argus…,アーガス……,Argus…,Argus…,아르구스…
Text/80/text,…,…,……,…,…,…,……,…,…,…
Text/81/text,You remembered something.,Has recordado algo.,你想起什么了。,Ты что-то вспомнила.,Você lembrou de algo.,Du hast dich an etwas erinnert.,何か思い出したのね。,Tu t'es souvenue de quelque chose.,Coś sobie przypomniałaś.,뭔가 기억났구나.
Text/82/text,"Yeah, but you’re not gonna like it.","Sí, pero no te va a gustar.","嗯，但你不会喜欢的。","Да. Но тебе это не понравится.","É, mas você não vai gostar.","Ja, aber es wird dir nicht gefallen.","ええ。でも、聞いたら嫌な気分になるわよ。","Ouais, mais ça ne va pas te plaire.","Tak, ale ci się to nie spodoba.","응, 근데 너 마음에 안 들걸."
